TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
38.963083900,-169.417,11.8892,-1.00964,7.29981,5.11563,3.7861,-0.697729,2.74543,-0.726317,0.924003,-0.496751,-1.43549,-1.68616,-0.608359,3.43363,1.94148,-0.756358,0.458306,0.267696,-2.17006,-2.5073
38.986303855,-173.799,8.75135,-5.42687,4.02761,3.90562,7.06166,-0.253747,3.30329,3.33511,4.70741,1.94234,-1.16926,-1.45207,-2.98703,-0.767354,0.269286,-1.28702,-1.5612,-0.548373,-0.30439,-2.02612
39.009523810,-177.262,8.18517,-7.29266,4.28463,4.27353,7.43221,-1.99352,2.15924,2.57892,2.50908,-0.0421691,0.655313,1.00349,-1.02649,0.833892,-0.191193,-1.44072,-1.57725,-2.8039,-1.7696,0.191138
39.032743764,-175.389,6.73333,-10.2837,3.92784,1.83358,4.63648,-3.78975,0.800538,-0.355658,-0.532674,-0.834888,0.849119,2.00522,1.42213,0.17402,0.194974,0.178129,-0.932164,-1.60627,-1.57672,-1.04162
39.055963719,-175.442,10.2725,-6.9862,4.94965,1.7591,5.83811,-4.51743,-0.01972,-0.596767,-1.34472,-0.36798,-0.100662,-0.143384,-0.0504259,-0.43912,0.966001,-0.871863,-0.448202,1.14231,1.43197,0.867028
39.079183673,-177.348,9.47775,-13.3231,3.07032,0.842984,4.36672,-2.96221,2.38649,-0.519467,-0.900173,-1.36911,-0.476259,1.40634,0.13638,0.466636,0.432999,-1.39794,-0.101223,-0.519805,0.0800425,-0.321318
39.102403628,-176.456,14.2339,-10.7598,5.06649,2.70012,5.67002,-1.8582,2.06654,0.998207,1.17135,-0.767656,0.44859,1.58265,-0.0701153,-0.588206,-0.546553,-1.46337,-0.0308303,0.568638,-0.378159,-0.732325
39.125623583,-180.95,11.7014,-13.9921,3.34132,-2.47582,1.75564,-2.82482,4.9645,2.73967,0.608883,-2.54685,-0.598749,2.02536,-0.588716,-0.161615,0.0248765,-2.21659,-2.38924,-0.693111,-0.227914,-0.432895
39.148843537,-175.326,17.5221,-13.1396,3.68702,0.385953,4.92114,-3.22444,2.70878,0.316387,3.12144,0.714058,-0.0489799,-1.37924,-1.88474,-0.342706,0.966626,0.0847943,1.11931,0.258661,-1.03989,0.284972
39.172063492,-175.62,15.3909,-13.52,2.18556,0.589941,4.6012,-0.961803,3.03667,0.671855,0.208782,-0.953247,-0.0274103,-1.79221,-3.08466,-2.83359,-2.13181,-2.11732,-1.81334,-0.483235,-0.291478,-0.425303
39.195283447,-167.532,21.1198,-6.96654,3.04076,-2.25881,-0.130418,-2.57161,0.805054,0.131632,-2.22231,-2.05722,-1.62233,-1.92545,-0.74776,-2.69063,-1.74893,-1.04873,-0.605952,-1.34965,-2.64685,-3.17675
39.218503401,-182.991,11.3421,-12.3517,4.77305,2.58784,5.25005,0.104084,3.75101,1.70011,2.85819,-0.625585,-0.789263,0.497804,1.64723,0.760203,2.34032,1.63635,-0.0543005,1.26959,-1.74198,-1.05039
