TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
9.148662132,1.29232,0,1.16568,2.70341,0.291661,0.367352,0.840154,0.153953,0.138076,0.542643,0.959198,0.245074
9.195102041,1.17789,0,0.981586,2.62741,0.361471,0.270421,0.549738,0.37721,0.18867,0.365795,0.628219,0.295771
9.241541950,0.59153,0.0557894,0.455989,2.42579,0.572517,0.213769,0.186243,0.965402,0.880717,0.541468,0.605686,0.56317
9.287981859,0.0601702,0.412416,0.242167,2.15863,0.616567,0.188787,0.216227,1.03428,0.85041,0.936149,0.599894,1.07504
9.334421769,0.0232442,0.516719,0,2.24406,0.572926,0.151108,0.393512,1.02901,0.894966,0.840582,0.646939,0.99868
9.380861678,0.17288,0.633314,0,2.7992,0.507454,0,0.309694,1.3088,0.356971,0.497547,1.08197,0.632218
9.427301587,0.556116,0.312746,0.0588205,2.78884,0.558593,0.0128535,0.531121,1.46255,0.329652,0.0700322,1.65597,0.383304
9.473741497,0.547561,0.0947204,0.278632,2.68553,0.245972,0.25361,0.663576,1.68297,0.402679,0.0561696,2.0291,0.112723
9.520181406,0.692176,0.0416119,0.357667,2.68794,0.0870207,0.484338,0.66906,0.989474,0.256817,0.101097,1.64918,0.0972948
9.566621315,0.660216,0.0390504,0.354197,2.69766,0.0129342,0.621349,0.629438,0.724589,0.0892466,0.150586,1.46255,0.12915
9.613061224,0.382921,0.0780054,0.285371,3.00808,0.0367597,0.824581,0.284254,0.953171,0.298594,0.115828,0.953661,0.316379
