TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
60.279002268,-174.296,17.2815,-20.8869,13.5824,3.52889,2.89482,-1.22826,3.10265,-0.639921,4.22791,0.988809,-2.57191,-5.57911,-3.03842,-3.857,-1.9939,-1.78628,-0.300113,-0.976627,1.45312,-1.82679
60.302222222,-177.739,18.2821,-18.5945,13.6205,0.912974,3.67679,-2.46345,2.38485,0.3035,2.97809,2.36234,2.68911,-3.58661,-1.76379,-2.14893,-0.418866,-1.40333,0.0570553,1.25301,-0.158182,-2.55979
60.325442177,-177.168,16.5945,-19.1894,16.5013,2.253,1.74722,-5.00377,2.5925,3.05388,7.48899,4.08301,1.61649,-2.18323,-0.338805,-2.87791,-0.792815,0.811024,-0.347574,0.374344,-1.4155,-3.00352
60.348662132,-177.718,19.8944,-16.3689,15.8311,3.87906,4.31295,-2.17369,3.39709,2.01231,4.0575,0.94827,0.488658,-1.9806,0.260885,-2.80845,-0.0163174,0.9007,0.232133,1.81243,1.43404,-0.862494
60.371882086,-184.927,17.7147,-17.4424,16.1008,0.229181,2.24532,-3.57831,-0.987779,-1.64119,4.00465,2.23421,-0.0133283,-3.35877,-1.37967,-2.47691,-0.379535,1.68062,0.726767,0.849267,-0.81114,-1.43008
60.395102041,-179.576,19.4578,-18.26,17.2835,3.23701,2.44,-3.15078,3.03534,2.38162,4.92582,3.06123,3.43077,-0.655366,-2.54749,-2.01134,0.209421,2.20218,-1.81498,0.3131,-3.02019,-4.20071
60.418321995,-178.847,20.3484,-18.4164,17.3683,4.03345,3.00526,-2.75394,1.64937,-0.22283,2.60347,1.89561,0.969945,-3.24382,-2.77459,-2.22646,1.49539,1.14427,-0.387625,-0.680898,-1.01214,-2.34783
60.441541950,-177.271,18.6609,-19.9982,15.5165,0.975957,0.402515,-6.31011,0.208777,0.735524,2.09248,1.06593,-1.02332,-3.4965,-3.65092,-3.69587,-0.753052,-0.694791,-0.881881,0.445253,-2.48099,-2.81702
60.464761905,-168.836,10.5801,-12.1136,14.1431,1.56273,1.14784,-1.14917,1.64884,-0.874949,4.40064,1.37994,-1.49589,-4.24849,-0.497458,-1.31333,0.511411,-0.80569,-0.642199,1.17158,-2.28288,-1.265
60.487981859,-151.955,4.80681,-5.80895,11.6482,5.08559,5.55389,-4.64488,1.13179,-0.559631,3.09466,-0.950774,-1.51917,-6.19543,-4.12686,-0.487715,0.36266,-1.59829,-1.04257,-2.14243,1.44855,1.98597
60.511201814,-159.116,0.852435,-8.57996,15.4634,5.0115,7.40034,-4.48943,3.13655,-1.41797,2.25569,-1.53387,0.86327,-3.21893,-2.99416,-2.53676,0.290839,-2.66272,-1.69151,-0.864416,-0.206745,-0.327915
60.534421769,-176.074,8.52327,-11.5322,15.1074,4.38583,5.71992,-3.71204,3.60993,-0.026928,5.34034,0.0610821,0.573789,-2.2575,-1.06358,-1.53689,-0.816345,-1.15601,-1.54898,-2.23445,0.290426,-0.824378
