TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
71.656780045,0.479582,1.67524,0.849703,0.57613,0.485191,0.0813504,0.273421,3.10719,0.0996719,0.337308,0.376136,0.754534
71.703219955,1.12906,0.825657,0.729137,0.690226,1.62881,0.124963,0.21948,2.88733,0,0,0.310546,0.575197
71.749659864,1.27474,0.276115,0.665215,0.132721,1.49324,0.107957,0.472718,1.80145,0.113341,0,1.08107,0.559968
71.796099773,1.42093,0.0236363,0.734178,0.0022232,1.02738,0.152371,0.566127,1.52802,0.262965,5.68188e-05,1.05957,0.603385
71.842539683,1.70471,0,0.729399,0.0085749,0.835966,0.199214,0.616345,1.55014,0.247814,0.0028211,0.662237,0.649596
71.888979592,1.70028,0.00918148,0.780658,0.169882,0.582234,0.138895,0.610794,1.70701,0.000281043,0.0071567,0.180757,0.735228
71.935419501,0.709915,0.0999459,0.927571,0.00569517,0.122102,1.09788,0.214238,2.08032,0.111235,0.0112737,0.210404,1.1205
71.981859410,0.420959,0.170057,0.969665,0.00550692,0.274219,1.21978,0.199759,2.71338,0,0.0625311,0.276637,1.10057
72.028299320,0.808778,0.0352907,0.769093,0.00768227,0.841316,1.05778,0.337573,2.45429,0,0.156728,0.172937,1.18111
72.074739229,1.85346,0.0161311,0.0663624,0.0176697,1.81542,0.689731,0.550767,1.46539,0,0.568512,0.000316456,0.75341
72.121179138,2.04776,0.175574,0.00219552,0.126101,1.73471,0.876797,0.140839,1.5145,0.117619,0.693753,0.00067816,0.473188
72.167619048,2.18322,0.244432,0.15262,0.0550675,1.37635,1.04188,0.218783,1.59045,0.16999,0.4947,0.00173109,0.370148
72.214058957,2.1728,0.00502645,0.464578,0.108303,1.32063,0.650481,0.342202,1.54219,0.0434592,0.3278,0.193573,0.473207
72.260498866,1.88459,0.0148962,0.0215746,0.450431,2.13321,0.0196418,0.466972,1.34182,0.26613,0.0146242,0.797619,0.503598
72.306938776,1.54823,0.0189152,0.0658325,0.809738,2.71718,0.030604,0.365333,1.13338,0.301137,0.0253198,1.0881,0.558177
